"dt"	"level"	"Alice"	"Bob"
2014-07-15	24	10150	0
2014-07-15	25	9240	0
2014-07-15	26	13750	0
2014-07-15	27	10570	0
2014-07-15	28	12500	0
2014-07-15	29	9560	0
2014-07-15	30	11510	0
2014-07-15	31	13260	0
2014-07-15	32	10720	0
2014-07-15	33	12770	0
2014-07-15	34	12850	0
2014-07-15	35	14290	0
2014-07-15	36	0	0
2014-07-15	37	0	0
2014-07-15	38	0	0
2014-07-15	39	0	0
2014-07-15	40	0	0
2014-07-15	41	0	0
2014-07-15	42	0	0
2014-07-15	43	0	0
2014-07-15	44	0	0
2014-07-15	45	0	0
2014-07-15	46	0	0
2014-07-15	47	0	0
2014-07-15	48	0	0
2014-07-15	49	0	0
2014-07-16	1	15430	7840
2014-07-16	2	6490	6810
2014-07-16	3	10890	8460
2014-07-16	4	14030	12020
2014-07-16	5	14380	11010
2014-07-16	6	11960	9540
2014-07-16	7	10860	12160
2014-07-16	8	15230	12590
2014-07-16	9	13200	16790
2014-07-16	10	9650	14440
2014-07-16	11	11620	8950
2014-07-16	12	10800	7440
2014-07-16	13	8980	11760
2014-07-16	14	11200	7330
2014-07-16	15	7620	13930
2014-07-16	16	10760	15370
2014-07-16	17	9620	8670
2014-07-16	18	17720	17740
2014-07-16	19	13250	9690
2014-07-16	20	14460	0
2014-07-16	21	19410	0
2014-07-16	22	11810	0
2014-07-16	23	12880	0
2014-07-16	24	10150	0
2014-07-16	25	9240	0
2014-07-16	26	13750	0
2014-07-16	27	10570	0
2014-07-16	28	12500	0
2014-07-16	29	9560	0
2014-07-16	30	11510	0
2014-07-16	31	13260	0
2014-07-16	32	10720	0
2014-07-16	33	12770	0
2014-07-16	34	12850	0
2014-07-16	35	14290	0
2014-07-16	36	0	0
2014-07-16	37	0	0
2014-07-16	38	0	0
2014-07-16	39	0	0
2014-07-16	40	0	0
2014-07-16	41	0	0
2014-07-16	42	0	0
2014-07-16	43	0	0
2014-07-16	44	0	0
2014-07-16	45	0	0
2014-07-16	46	0	0
2014-07-16	47	0	0
2014-07-16	48	0	0
2014-07-16	49	0	0
2014-07-17	1	15430	7840
2014-07-17	2	6490	6810
2014-07-17	3	10890	8460
2014-07-17	4	14030	12020
2014-07-17	5	14380	11010
2014-07-17	6	11960	9540
2014-07-17	7	10860	12160
2014-07-17	8	15230	12590
2014-07-17	9	13200	16790
2014-07-17	10	9650	14440
2014-07-17	11	11620	8950
2014-07-17	12	10800	7440
2014-07-17	13	8980	11760
2014-07-17	14	11200	7330
2014-07-17	15	7620	13930
2014-07-17	16	10760	15370
2014-07-17	17	9620	8670
2014-07-17	18	17720	17740
2014-07-17	19	13250	9690
2014-07-17	20	14460	9770
2014-07-17	21	19410	10710
2014-07-17	22	11810	9770
2014-07-17	23	12880	10440
2014-07-17	24	10150	9390
2014-07-17	25	9240	5770
2014-07-17	26	13750	10270
2014-07-17	27	10570	0
2014-07-17	28	12500	0
2014-07-17	29	9560	0
2014-07-17	30	11510	0
2014-07-17	31	13260	0
2014-07-17	32	10720	0
2014-07-17	33	12770	0
